did,n_samples,n_features,imbalance_ratio,avg_corr,class_sep,best_algo
40713,3772,29,0.0156165858912224,0.0,66.51425,LogisticRegression
41005,3660,46,0.781021897810219,0.0,4.7146783,DecisionTree
3,3196,36,0.914919113241462,0.0,0.76922816,DecisionTree
44072,3172,5,1.0,0.1197293905755423,1.2941828,DecisionTree
44087,3172,5,1.0,0.1197293905755423,1.2941828,DecisionTree
44127,3172,5,1.0,0.1197293905755423,1.2941828,DecisionTree
43973,3172,5,0.0,0.1197293905755423,,DecisionTree
44118,3172,5,1.0,0.1197293905755423,1.2941828,DecisionTree
44075,3172,5,1.0,0.1197293905755423,1.2941828,DecisionTree
737,3107,6,0.9840357598978288,0.5717853395524489,2797864.0,DecisionTree
1024,2796,34,0.3213610586011342,0.0,,DecisionTree
45562,2584,18,0.0704225352112676,0.0,118603.24,SVC
43980,2554,11,1.0,0.2412754098391697,7.994458,LogisticRegression
44091,2554,11,1.0,0.2412754098391697,7.994458,LogisticRegression
41007,2352,46,0.6764076977904491,0.0,5.4784665,DecisionTree
40999,2351,46,0.7864741641337386,0.0,5.3109407,DecisionTree
958,2310,19,0.1666666666666666,,79.90163,LogisticRegression
40704,2201,3,0.4771812080536913,0.1854466468578557,1.1535987,DecisionTree
772,2178,3,0.8014888337468983,0.0929841515495026,8.824001,LogisticRegression
1067,2109,21,0.1828379136287156,0.7203468147931325,13059.333,LogisticRegression
44529,2000,7,0.8034265103697025,0.0,87.50306,LogisticRegression
44490,2000,5,0.0570824524312896,0.2212123458137109,96.43982,DecisionTree
44393,2000,20,1.0,0.3823753623722721,768390.94,LogisticRegression
44528,2000,7,0.8034265103697025,0.0,124.73535,LogisticRegression
